# ============================================================================
#  CHAMBERS -- the big named halls. Per the DUNGEON! board game a chamber holds
#  3 monsters and NO treasure (see include/SOLO.bas / ChamberEncounter).
#
#  The board art is FIXED, so chambers never move -- this hand-authored map is
#  exact and replaces the openness heuristic (DetectChambers falls back to the
#  heuristic only if this file is missing/empty).
#
#  Each row is ONE chamber as a bounding rectangle in CELLS (col,row). Every
#  WALKABLE (yellow floor / door) cell inside the rectangle becomes a trigger
#  cell for that chamber; walls inside the rectangle are ignored, so the box
#  only has to bound the hall's floor. Keep boxes tight so a passing corridor
#  isn't swallowed. Rectangles must not overlap (first row wins a shared cell).
#
#  READ EXACT CELLS IN-GAME: press [~] for the debug overlay. The bottom line
#  shows "cell X,Y" under the mouse -- hover a chamber's top-left and
#  bottom-right corners to read col1,row1 and col2,row2. The overlay tints
#  every chamber cell (magenta = will spawn, green = cleared). Edit, press F5.
#
#  Format:   name | col1 | row1 | col2 | row2
#  ( '#' starts a comment; fields are trimmed; the Main Gallery is intentionally
#    omitted so the entrance never spawns monsters. )
# ============================================================================

# name             | c1  | r1 | c2  | r2      (auto-detected seed -- verify/tighten these)
ARMORY             |  12 |  8 |  21 | 11
THE CRYPT          |  46 |  6 |  52 | 10
WIZ'S LAB          |  78 |  8 |  91 | 12
WIZ'S TREASURE     |  92 |  6 | 101 |  9
KITCHEN            |   2 | 24 |  11 | 28
GUARD ROOM         |  15 | 22 |  24 | 26
STORE ROOM         |  15 | 40 |  24 | 43
TORTURE CHAMBER    |  48 | 38 |  56 | 42
QUEEN'S ANNEX      |  84 | 41 |  95 | 45
QUEEN'S TREASURE   |  86 | 33 |  95 | 36
KING'S LIBRARY     |  85 | 25 |  97 | 29
KING'S TREASURE    | 104 | 20 | 112 | 23
