# effects.txt -- cinematic CRIT and FUMBLE lines (the Crits & Fumbles setting).
# One effect per line, pipe-delimited (fields trimmed). Re-read at launch (F5).
#
# table: 1 = player CRITICAL HIT   2 = player FUMBLE   3 = monster natural-1 (self-mishap)
# kind : 0 flavor-only   1 heal player   2 extra damage to foe   3 self-damage (roll `die`)
#        4 lose a turn   5 drop gold   6 self-damage, EXACT (`die` IS the amount)
#
# Kind 6 exists so a table can express a fixed-odds/fixed-damage distribution. The monster
# fumble table below is 10 rows read uniformly, so the ROW COUNT is the probability:
# 1 row = 10%. Rolling a die instead would smear the intended 6 / 3 / 1 into a range.
# die  : magnitude die for the mechanical effect (0 = none)
# text : the line shown. Tokens {mon} and {weapon} are filled in at show time. No pipes in text.
#
# table | kind | die | text
1 | 1 | 4 | AARGH! You hew into the {mon} with {weapon}, cleaving it near in two!
1 | 1 | 4 | You drive {weapon} clean through the {mon} -- it shrieks and buckles!
1 | 1 | 4 | A perfect strike! {weapon} shatters the {mon}'s guard and bites deep!
1 | 2 | 6 | You roar and bring {weapon} down, splitting the {mon} apart!
1 | 2 | 6 | Time slows -- {weapon} finds the gap and the {mon} folds around it!
1 | 1 | 4 | You spin low and open the {mon} shoulder to hip with {weapon}!
1 | 0 | 0 | The {mon} never saw it -- {weapon} lands true and it staggers!
1 | 1 | 4 | With a savage cry you hammer {weapon} home; the {mon} caves in!
1 | 2 | 6 | You duck the {mon}'s guard and bury {weapon} to the hilt!
2 | 3 | 4 | You swing wild, lose your footing, and crack your own shin!
2 | 4 | 0 | {weapon} slips from your sweaty grip and clatters away!
2 | 5 | 5 | You stumble past the {mon}, spilling coins from your pouch!
2 | 3 | 4 | Your strike goes wide and you nearly gut yourself!
2 | 4 | 0 | You trip on a loose stone and sprawl at the {mon}'s feet!
2 | 0 | 0 | Overbalanced, you flail -- the blow whistles harmlessly past!
2 | 0 | 0 | Your boot skids in the muck; {weapon} bites only air.

# --- table 3: MONSTER natural-1 self-mishap ------------------------------------------
# 10 rows, read uniformly, so the row count IS the chance:
#   1 row  kind 6 die 6  -> 10% for 6 damage
#   2 rows kind 6 die 3  -> 20% for 3 damage
#   3 rows kind 6 die 1  -> 30% for 1 damage
#   4 rows kind 4        -> 40% no damage, but its attack is wasted
3 | 6 | 6 | The {mon} lunges, trips, and gashes itself open on its own claws!
3 | 6 | 3 | The {mon} snaps at you, misses, and bites its own flank!
3 | 6 | 3 | The {mon} swings so hard it wrenches itself and tears something!
3 | 6 | 1 | The {mon} clips itself on the backswing and hisses at the sting.
3 | 6 | 1 | The {mon} catches its own claw on stone and splits it.
3 | 6 | 1 | The {mon} overbalances and barks its head on the wall.
3 | 4 | 0 | The {mon} overreaches and sprawls, wasting its turn!
3 | 4 | 0 | The {mon} slips in its own filth and crashes down!
3 | 4 | 0 | The {mon} reels, tangled in its own momentum, and finds only air.
3 | 4 | 0 | The {mon} lurches past you and has to gather itself again.
