# items.txt -- the magic-item cards each dungeon level can yield. One item per line.
#
# FORMAT:  lvl | name | gold | type | weight
#   lvl     which dungeon level offers it (1-9)
#   name    display name (also used to find its sprite)
#   gold    sale value -- what a duplicate is worth when you already hold one
#   type    the mechanic (see the code table below)
#   weight  RELATIVE rarity WITHIN that level's pool (bigger = commoner). Not a percentage.
#
# HOW OFTEN a level yields an item at all is separate: tuning.txt ITEM_PCT_<n>. That split
# is the point. Items used to OVERRIDE a treasures.txt slot, so an item's frequency was
# encoded as a slot POSITION -- odds could only be 0/33/66/100%, and any level whose three
# slots were all items could never yield a gold treasure card. That silently happened to
# levels 5, 6 and 8, making their treasures.txt rows dead data. Now treasure slots are
# always gold, ITEM_PCT decides how often an item replaces one, and these weights decide
# which item it is. `dungeon.run datalint` checks both halves.
#
# LEGACY packs using the old `lvl | slot | name | gold | type` layout still load -- the
# loader tells them apart by whether field 2 is a bare number, ignores the slot, and gives
# every item an equal weight. datalint reports the format so you know to migrate.
#
# type codes: 1=MagicSword+1  2=MagicSword+2  3=SecretDoorCard  4=ESP Medallion
#             5=CrystalBall   7=Shield(+2 AC) 8=MagicArmor(+3 AC) 9=MagicBow(+2 hit)
#             10=ElfBoots(+2 move) 11=TeleportScroll   (6=LevelKey is placed dynamically)
#             12=FireBallScroll  13=LightningBoltScroll  (Wizard scribes 2 charges; others sell)
#             14=Torch (carried light: exempts any class from THE CRYPT's forced line-of-sight)
#
# Re-read at launch (F5).
#
# lvl | name             | gold | type | weight
2     | MAGIC SWORD +1   | 500  | 1    | 10
3     | ESP MEDALLION    | 500  | 4    | 10
3     | SHIELD           | 800  | 7    | 12
4     | ELF BOOTS        | 900  | 10   | 10
4     | SECRET DOOR CARD | 0    | 3    | 8
5     | CRYSTAL BALL     | 1000 | 5    | 7
5     | MAGIC BOW        | 1200 | 9    | 9
6     | MAGIC SWORD +2   | 500  | 2    | 6
6     | TELEPORT SCROLL  | 400  | 11   | 12
7     | MAGIC ARMOR      | 1500 | 8    | 6
7     | TELEPORT SCROLL  | 400  | 11   | 12
8     | FIRE BALL SCROLL | 500  | 12   | 9
8     | SHIELD           | 800  | 7    | 12
9     | LIGHTNING SCROLL | 500  | 13   | 9
9     | MAGIC ARMOR      | 1500 | 8    | 6
# A TORCH on the shallow levels, so it can be FOUND before level 9 needs it.
# Weight 10 against level 2's other pool member is roughly the 1-in-10 the plan
# asked for once ITEM_PCT_2 decides how often level 2 yields an item at all.
2     | TORCH            | 120  | 14   | 10
4     | TORCH            | 120  | 14   | 8
