# playlist.txt -- which music plays on each dungeon level. Format:  level | name
# The file lives in assets/music/. Re-read at launch (F5); edit freely.
#
# Give a BARE NAME (no extension). The game plays the HIGHEST-quality file that
# exists for that name, following a worst -> best ladder:
#
#     .mid -> .rad -> .s3m / .mod / .xm / .it -> .ogg / .mp3 -> .flac -> .wav
#
# So ship a tiny .mid/.rad and a downloadable "music pack" of .ogg/.wav upgrades it
# in place -- just drop the better file in assets/music/ with the same name. A name
# with no file on disk plays nothing; a level with no line keeps whatever's playing;
# levels that share a name won't restart the track as you move between them.
#
# ===========================================================================
#  soundmon-2 pack (DUNGEON SYNTH) -- a distinct theme per level, same nine
#  arrival -> exploration -> the natural deep -> the dead -> the abandoned ->
#  the oppressive -> the hostile -> the end. Each level changes the music, so
#  descending always feels like it costs you something.
#
#  TO USE: copy this file to assets/music/playlist.txt, and copy (or symlink)
#  the .wav files from assets/music/soundmon-2/ up into assets/music/ --
#  playlist names resolve against assets/music/ itself, not a subfolder.
#  (Unlike assets/sfx/, where a subfolder IS a selectable pack.)
#
#      cd assets/music
#      cp soundmon-2/playlist.txt .
#      ln -sf soundmon-2/*.wav .          # or cp, if you'd rather not symlink
#
#  All nine tracks are instrumental, 60s, generated with:
#      cd assets/music/soundmon-2 && ./generate.sh
#  Tempo/key/tags per track live in tracks.txt -- tune and re-run.
# ===========================================================================

# level | name
1 | start
2 | level1
3 | caverns
4 | level2
5 | crypt
6 | deeproads
7 | everdark
8 | inferno
9 | dragonlair

# ---- what each track is (from tracks.txt) --------------------------------
# start       80bpm  D minor   lo-fi analog synth, simple motif, tape hiss, 1993
# level1      74bpm  A minor   cold analog pads, slow arpeggio, minimal, echoing
# caverns     78bpm  E minor   dripping reverb, breathy synth flute, cavernous
# level2      70bpm  C minor   dark drone pad, one slow melody, tape saturation
# crypt       64bpm  D minor   cheap synth church organ, funereal, haunted
# deeproads   68bpm  G minor   low synth brass, vast empty halls, slow and lonely
# everdark    58bpm  F minor   oppressive drone, barely any melody, cold
# inferno    128bpm  E minor   driving analog bass sequence, harsh detuned lead
# dragonlair  92bpm  Bb minor  huge detuned synth brass, 16-bit fantasy epic

#  soundmon-1 is the live-orchestral take on these same nine names; soundmon-2
#  is DUNGEON SYNTH -- lo-fi early-90s medieval synthesizer, the sound of
#  DOS-era crawlers (Eye of the Beholder, Dungeon Hack). Either pack drops in
#  with this same playlist unchanged.

# ---- the ORIGINAL mapping, kept so you can fall back ----------------------
# 1 | level2
# 2 | level1
# 3 | start
# 4 | everdark
# 5 | start
# 6 | everdark
# 7 | everdark
# 8 | everdark
# 9 | everdark

# ---- quieter variant: fewer changes, reuses tracks across level pairs -----
# 1 | start
# 2 | start
# 3 | caverns
# 4 | caverns
# 5 | crypt
# 6 | deeproads
# 7 | everdark
# 8 | everdark
# 9 | dragonlair
