# Narration script, built from assets/data/*.txt by build-lines.py.
# Format: key | text   -- the key becomes the WAV filename.
# Edit freely; ./generate.sh re-reads this file, it does not rebuild it.

win.title | Victory
win.subtitle | You are now a Legendary Lord.
lose.title | You died
lose.subtitle | The dungeon claims another soul...
end.return | Press any key to return to the menu.
press.key | Press any key.
press.key.menu | Press any key to return to the menu.
intro.descent | Beneath the hills, the old dungeon waits. Nine levels down, and every one of them hungry. Others have gone before you. None of them came back up. Take your steel, take your nerve, and begin the descent.
room_armory | You enter the Armory.
room_the_crypt | You enter The Crypt.
room_wiz_s_lab | You enter Wiz's Lab.
room_wiz_s_treasure | You enter Wiz's Treasure.
room_kitchen | You enter the Kitchen.
room_guard_room | You enter the Guard Room.
room_store_room | You enter the Store Room.
room_torture_chamber | You enter the Torture Chamber.
room_queen_s_annex | You enter Queen's Annex.
room_queen_s_treasure | You enter Queen's Treasure.
room_king_s_library | You enter King's Library.
room_king_s_treasure | You enter King's Treasure.
level_1 | Level 1. Main Gallery.
level_2 | Level 2. Guard Room.
level_3 | Level 3. Armory.
level_4 | Level 4. Store Room.
level_5 | Level 5. Torture Chamber.
level_6 | Level 6. King's Quarters.
level_7 | Level 7. Wiz's Quarters.
level_8 | Level 8. Queen's Quarters.
level_9 | Level 9. The Crypt.
curio_chest | A CURIO CHEST sits half-buried in the rubble!
curio_fountain | A still FOUNTAIN glimmers with dark, waiting water.
curio_shrine | A moss-grown SHRINE to some forgotten god broods in the gloom.
curio_gamble | A skull-carved ALTAR hums -- bone dice sit frozen mid-throw upon it.
curio_peddler | A HOODED PEDDLER melts out of the shadows, wares held open.
curio_idol | A leering IDOL squats in an alcove, one eye a fat, winking ruby.
curio_corpse | A long-dead ADVENTURER slumps against the wall, pack still intact.
curio_mushroom | A fairy-ring of luminous MUSHROOMS pulses with soft light.
curio_obelisk | A rune-carved OBELISK thrums with old, buried power.
curio_cache | A half-buried WEAPON CACHE glints with oiled, unrusted steel.
curio_mimic | A CURIO CHEST rests here, lid shut, half-sunk in the dust.
trap_poison_darts | CLICK -- POISON DARTS hiss from the chest!
trap_bomb | TICK TICK -- a BOMB tumbles out of the chest!
trap_frost_bomb | A FROST BOMB shatters in a burst of rime!
trap_magic_siren | A MAGIC SIREN wails up out of the chest!
mon_giant_rats | Giant Rats block your path!
mon_giant_lizard | A Giant Lizard blocks your path!
mon_goblins | Goblins block your path!
mon_skeleton | A Skeleton blocks your path!
mon_hobgoblins | Hobgoblins block your path!
mon_giant_spider | A Giant Spider blocks your path!
mon_ghouls | Ghouls block your path!
mon_gargoyle | A Gargoyle blocks your path!
mon_evil_hero | An Evil Hero blocks your path!
mon_giant_snake | A Giant Snake blocks your path!
mon_werewolf | A Werewolf blocks your path!
mon_ogre | An Ogre blocks your path!
mon_mummy | A Mummy blocks your path!
mon_troll | A Troll blocks your path!
mon_vampire | A Vampire blocks your path!
mon_giant | A Giant blocks your path!
mon_witch | A Witch blocks your path!
mon_green_slime | A Green Slime blocks your path!
mon_purple_worm | A Purple Worm blocks your path!
mon_black_pudding | A Black Pudding blocks your path!
mon_evil_wizard | An Evil Wizard blocks your path!
mon_red_dragon | A Red Dragon blocks your path!
mon_blue_dragon | A Blue Dragon blocks your path!
boss_red_dragon | The Red Dragon rises before you!
boss_blue_dragon | The Blue Dragon rises before you!
boss_evil_wizard | The Evil Wizard rises before you!
boss_black_pudding | The Black Pudding rises before you!
