# path	seed	style
classes/hero.png	1478921961	portrait
classes/elf.png	1126286087	portrait
classes/superhero.png	1344700169	portrait
classes/wizard.png	528992744	portrait
strategic-combat/classes/hero.png	286895328	darkest
strategic-combat/classes/elf.png	223681011	darkest
strategic-combat/classes/superhero.png	492912552	darkest
strategic-combat/classes/wizard.png	1616391157	darkest
monsters/animals/giant-rat.png	1693957868	darkest	1024x1024
monsters/beasts/goblin.png	1556032160	darkest	1024x1024
monsters/animals/giant-lizard.png	1004615632	darkest	1024x1024
monsters/beasts/hobgoblin.png	849534571	darkest	1024x1024
monsters/undead/ghoul.png	4982392	darkest	1024x1024
monsters/undead/skeleton.png	1863813541	darkest	1024x1024
monsters/humanoids/evil-hero.png	1467463083	darkest	1024x1024
monsters/beasts/werewolf.png	1865391441	darkest	1024x1024
monsters/undead/mummy.png	1209106305	darkest	1024x1024
monsters/undead/vampire.png	1263708309	darkest	1024x1024
monsters/humanoids/witch.png	1999240771	darkest	1024x1024
monsters/insects/purple-worm.png	1291236726	darkest	1024x1024
monsters/humanoids/evil-wizard.png	440078978	darkest	1024x1024
monsters/beasts/blue-dragon.png	1592525726	darkest	1024x1024
treasures/sack-of-gold.png	1574262747	item	1024x1024
treasures/gold-cup.png	2103216487	item	1024x1024
treasures/silver-coffer.png	63776989	item	1024x1024
treasures/huge-emerald.png	258596575	item	1024x1024
treasures/silver-necklace.png	1868896752	item	1024x1024
treasures/gold-necklace.png	849075931	item	1024x1024
treasures/crown-of-gems.png	986104106	item	1024x1024
items/magic-sword-1.png	1612682817	item	1024x1024
items/esp-medallion.png	409689309	item	1024x1024
items/elf-boots.png	1471048385	item	1024x1024
items/crystal-ball.png	1893665793	item	1024x1024
items/magic-sword-2.png	1975427440	item	1024x1024
items/magic-armor.png	1334638077	item	1024x1024
items/lightning-scroll.png	339415649	item	1024x1024
items/sword.png	1182899779	item	1024x1024
items/elven-blade.png	1402140458	item	1024x1024
screens/you-win.png	446712638	dosrpg	1024x1024
markers/gravestone.png	2059213388	dark	1024x1024
markers/lost-cache.png	589523189	dark	1024x1024
rooms/main-gallery.png	1937440226	dosrpg	1024x1024
rooms/armory.png	975485550	dosrpg	1024x1024
rooms/store-room.png	1316306867	dosrpg	1024x1024
rooms/kitchen.png	168586110	dosrpg	1024x1024
monsters/animals/giant-spider.png	1847739765	darkest	1024x1024
monsters/beasts/gargoyle.png	301020169	darkest	1024x1024
monsters/animals/giant-snake.png	594757532	darkest	1024x1024
monsters/beasts/ogre.png	1284012271	darkest	1024x1024
monsters/beasts/troll.png	1922851942	darkest	1024x1024
monsters/beasts/giant.png	1211620306	darkest	1024x1024
monsters/misc/green-slime.png	1504440737	darkest	1024x1024
monsters/misc/black-pudding.png	1691349104	darkest	1024x1024
monsters/beasts/red-dragon.png	1996002443	darkest	1024x1024
treasures/silver-cup.png	1611555621	item	1024x1024
treasures/silver-ring.png	791082818	item	1024x1024
treasures/gold-ring.png	698383632	item	1024x1024
treasures/jade-idol.png	28865220	item	1024x1024
treasures/huge-sapphire.png	1403463892	item	1024x1024
treasures/huge-ruby.png	598192131	item	1024x1024
