# ============================================================================
#  SUPERSEDED -- THIS FILE IS NO LONGER READ BY ANYTHING.
#
#  generate.sh now reads the CANONICAL manifest from the game itself:
#      dungeon.run imagemanifest        (format: path | style | size | prompt)
#  so the asset LIST is derived from the content tables and cannot drift from what the game
#  actually loads. This file had drifted: it listed monsters that no longer exist (kobold,
#  vetch) and was missing 11 assets that do -- including every special item.
#
#  The authored style/size/prompt rows were lifted OUT of here into:
#      assets/data/default/art-prompts.txt
#  which the manifest merges in by path. Edit prompts THERE.
#
#  Kept only as a record. Safe to delete.
# ============================================================================
# PIXEL-ART ASSET MANIFEST  --  folder | name | style | size | prompt
#
# Every art node from the game UI mindmap, with a best-effort pixel-art prompt.
# Driven by ~/pixelmon (SDXL + pixel-art LoRA). Run: assets/pixel-art/generate.sh
# `style` is a pixelmon styles.json key; `folder` mirrors the mindmap hierarchy.
# Edit a prompt and re-run just that folder. `#` = comment.
#
# ---------------------------------------------------------------- MONSTERS · HUMANOIDS
monsters/humanoids | evil-wizard   | darkest | 128 | an evil sorcerer in tattered black robes, glowing eyes, crackling dark magic swirling around one raised hand, gaunt and menacing, single character
monsters/humanoids | evil-hero     | darkest | 128 | a fallen knight in blackened corrupted plate armor, cruel notched sword, torn red cape, dark heroic villain, single character
monsters/humanoids | vetch         | darkest | 128 | a wretched hunched hooded cultist creature, sickly grey skin, clutching a rusty curved dagger, single character
monsters/humanoids | witch         | darkest | 128 | a cackling old hag witch in a tall pointed hat, warty green-tinted skin, holding a bubbling green potion, single character
# ---------------------------------------------------------------- MONSTERS · ANIMALS
monsters/animals   | giant-rat     | darkest | 128 | a monstrous dungeon rat, matted mangy fur, long yellow fangs, naked whiplike tail, glowing red eyes, single creature
monsters/animals   | giant-lizard  | darkest | 128 | a huge scaly dungeon lizard, sharp clawed feet, forked flicking tongue, mottled green hide, single creature
monsters/animals   | giant-spider  | darkest | 128 | an enormous black spider, eight hairy legs, dripping venom fangs, cluster of glinting red eyes, single creature
monsters/animals   | giant-snake   | darkest | 128 | a massive coiled serpent, glistening green scales, flared hood, venomous fangs bared, single creature
# ---------------------------------------------------------------- MONSTERS · INSECTS
monsters/insects   | purple-worm   | darkest | 128 | a colossal purple burrowing worm, thick segmented body, gaping circular maw ringed with jagged teeth, single creature
# ---------------------------------------------------------------- MONSTERS · MISC
monsters/misc      | green-slime   | darkest | 128 | a quivering translucent green ooze slime, bubbling acid, a dissolving bone suspended inside, single creature
monsters/misc      | black-pudding | darkest | 128 | a shapeless oily black gelatinous blob, glistening acidic sheen, engulfing the stone floor, single creature
# ---------------------------------------------------------------- MONSTERS · BEASTS
monsters/beasts    | red-dragon    | darkest | 128 | a fearsome red dragon, spread leathery wings, breathing a gout of fire, horned crested head, single creature
monsters/beasts    | blue-dragon   | darkest | 128 | a sleek blue dragon, crackling lightning breath, sharp spined back, icy blue scales, single creature
monsters/beasts    | gargoyle      | darkest | 128 | a crouching stone gargoyle with bat wings and curled horns, cracked grey stone skin, fanged snarl, single creature
monsters/beasts    | ogre          | darkest | 128 | a hulking brute ogre, warty grey-green skin, huge knotted wooden club, tusked underbite, single creature
monsters/beasts    | hobgoblin     | darkest | 128 | a burly hobgoblin warrior, orange-red skin, spiked leather armor, jagged notched scimitar, single creature
monsters/beasts    | goblin        | darkest | 128 | a small wiry green goblin, big pointed ears, crooked rusty dagger, wicked toothy grin, single creature
monsters/beasts    | kobold        | darkest | 128 | a little scaly reptilian kobold, ratlike snout, small horns, clutching a short spear, single creature
monsters/beasts    | troll         | darkest | 128 | a lanky green troll, long raking claws, warty regenerating hide, hunched and hungry, single creature
monsters/beasts    | werewolf      | darkest | 128 | a savage werewolf mid-howl, bristling grey fur, elongated fangs and claws, muscular, single creature
monsters/beasts    | giant         | darkest | 128 | a towering humanoid giant in ragged furs, a massive stone-headed club over one shoulder, brutish face, single creature
