effect	file	duration_s	source_path
move	move.ogg	0.0191	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Beeps/8BIT_RETRO_Beep_1_Very_Short_mono.wav
door	door.ogg	0.0836	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Beeps/8BIT_RETRO_Beep_Glide_Up_Fast_mono.wav
breakdoor	breakdoor.ogg	0.4636	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Explosions/8BIT_RETRO_Explosion_Short_Dirty_mono.wav
secretpass	secretpass.ogg	0.6828	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Various/8BIT_RETRO_Effect_Reverse_Zoom_mono.wav
idle	idle.ogg	0.1045	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Beeps/8BIT_RETRO_Beep_Smooth_Sine_Deep_mono.wav
trap	trap.ogg	0.1304	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Weapons/8BIT_RETRO_Fire_Blaster_Zap_Thud_mono.wav
miss	miss.ogg	0.9951	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Explosions/8BIT_RETRO_Explosion_Woosh_Down_mono.wav
fumble	fumble.ogg	0.4392	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Explosions/8BIT_RETRO_Explosion_Short_Foof_mono.wav
win	win.ogg	0.0931	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Jumping/8BIT_RETRO_Jump_Three_Note_Up_Rapid_Bright_mono.wav
saveok	saveok.ogg	0.0386	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Beeps/8BIT_RETRO_Beep_Short_Bright_mono.wav
chest	chest.ogg	1.0378	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Powerups/8BIT_RETRO_Powerup_Spawn_Appear_Fading_mono.wav
hiss	hiss.ogg	0.0872	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Hits_Bumps/8BIT_RETRO_Hit_Bump_Noise_mono.wav
alarm	alarm.ogg	0.8048	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Powerups/8BIT_RETRO_Powerup_Spawn_Bright_Repeating_Fading_mono.wav
levelup	levelup.ogg	0.4299	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Powerups/8BIT_RETRO_Powerup_Spawn_Quick_Climbing_mono.wav
bump	bump.ogg	0.0863	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Hits_Bumps/8BIT_RETRO_Hit_Bump_Thud_mono.wav
strongdoor	strongdoor.ogg	0.0482	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Hits_Bumps/8BIT_RETRO_Hit_Bump_Distorted_Thud_mono.wav
