effect	file	duration_s	source_path
move	move.ogg	0.8768	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/HUMAN/Footsteps/Leather_Wood_Hollow_Walk/FOOTSTEP_Leather_Wood_Hollow_Walk_RR1_mono.wav
door	door.ogg	1.3268	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/DOORS_GATES_DRAWERS/DOOR_Indoor_Wood_Open_stereo.wav
breakdoor	breakdoor.ogg	2.2974	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/DEMOLISH/DEMOLISH_Wood_Metal_stereo.wav
secretpass	secretpass.ogg	0.9238	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MAGIC_SPELLS/MAGIC_SPELL_Teleport_mono.wav
idle	idle.ogg	0.2581	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/ELEMENTS/Water/Drops/DROP_Designed_mono.wav
trap	trap.ogg	0.2543	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/WEAPONS/Bow_Arrow/BOW_Release_Arrow_Large_mono.wav
miss	miss.ogg	0.4085	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/WHOOSHES/Air/WHOOSH_Air_Blade_RR1_mono.wav
fumble	fumble.ogg	0.3218	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/IMPACTS/Metal/IMPACT_Metal_Hit_Metal_mono.wav
win	win.ogg	2.2944	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MUSIC_EFFECTS/Solo_Orchestral_Brass/MUSIC_EFFECT_Orchestral_Brass_Positive_16_stereo.wav
saveok	saveok.ogg	0.9840	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MAGIC_SPELLS/MAGIC_SPELL_Shield_mono.wav
chest	chest.ogg	0.5687	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/CREAKS/CREAK_Wood_Tree_Creak_04_Quick_mono.wav
hiss	hiss.ogg	1.9629	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/WHOOSHES/Mixed/WHOOSH_Steam_Fast_01_mono.wav
alarm	alarm.ogg	4.8233	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MAGIC_SPELLS/MAGIC_SPELL_Scary_Raising_Reverse_Rain_stereo.wav
levelup	levelup.ogg	2.0443	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MUSIC_EFFECTS/Solo_Solo_Bell_Voice/MUSIC_EFFECT_Bell_Voice_Positive_16_stereo.wav
bump	bump.ogg	0.4414	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/THUDS_THUMPS/THUD_Medium_02_mono.wav
strongdoor	strongdoor.ogg	1.3171	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/DOORS_GATES_DRAWERS/DOOR_Metal_Hollow_Deep_Close_stereo.wav
secret	secret.ogg	0.6946	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MAGIC_SPELLS/MAGIC_SPELL_Spawn_mono.wav
key	key.ogg	0.2662	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/LOCKS_KEYS/KEY_Unlocking_Metal_Door_mono.wav
treasure	treasure.ogg	0.6953	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/FOLEY/COINS/COINS_Rattle_01_mono.wav
hit	hit.ogg	0.8856	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/WEAPONS/Melee/Swords/SWORD_Whoosh_Hit_Armor_Hard_RR1_mono.wav
crit	crit.ogg	1.0609	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/WEAPONS/Melee/Swords/SWORD_Swing_Stab_Body_Gore_stereo.wav
search	search.ogg	0.8230	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/SCRAPES_SCRATCHES/SCRAPE_Hollow_Fade_In_Out_mono.wav
lose	lose.ogg	5.5774	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MUSIC_EFFECTS/MUSIC_EFFECT_Orchestral_Battle_Negative_stereo.wav
savebad	savebad.ogg	2.4025	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MAGIC_SPELLS/MAGIC_SPELL_Stutter_Out_stereo.wav
boom	boom.ogg	0.9191	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MAGIC_SPELLS/MAGIC_SPELL_Flame_04_mono.wav
fizzle	fizzle.ogg	1.3118	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MAGIC_SPELLS/MAGIC_SPELL_Metallic_Rain_Down_Subtle_stereo.wav
