effect	file	duration_s	source_category	source_filename
move	move.ogg	0.876	HUMAN	FOOTSTEP_Leather_Wood_Hollow_Walk_RR1_mono.wav
door	door.ogg	1.326	DOORS_GATES_DRAWERS	DOOR_Indoor_Wood_Open_stereo.wav
breakdoor	breakdoor.ogg	2.297	DEMOLISH	DEMOLISH_Wood_Metal_stereo.wav
secretpass	secretpass.ogg	1.267	SCRAPES_SCRATCHES	SCRAPE_Concrete_Slab_on_Concrete_Slab_Medium_mono.wav
idle	idle.ogg	0.258	ELEMENTS	DROP_Designed_mono.wav
trap	trap.ogg	0.688	MECHANICS	MECHANICS_Metal_Mechanism_03_mono.wav
miss	miss.ogg	0.217	WHOOSHES	WHOOSH_Fast_Air_mono.wav
fumble	fumble.ogg	2.154	CARTOON	LOTUS_FLUTE_Whistle_Down_Wobble_01_mono.wav
win	win.ogg	2.294	MUSIC_EFFECTS	MUSIC_EFFECT_Orchestral_Brass_Positive_16_stereo.wav
saveok	saveok.ogg	0.103	USER_INTERFACES	UI_SCI-FI_Confirm_Dry_stereo.wav
chest	chest.ogg	0.568	CREAKS	CREAK_Wood_Tree_Creak_04_Quick_mono.wav
hiss	hiss.ogg	1.962	WHOOSHES	WHOOSH_Steam_Fast_01_mono.wav
alarm	alarm.ogg	1.160	ALARMS	ALARM_Submarine_loop_stereo.wav
levelup	levelup.ogg	2.044	MUSIC_EFFECTS	MUSIC_EFFECT_Bell_Voice_Positive_16_stereo.wav
bump	bump.ogg	0.441	THUDS_THUMPS	THUD_Medium_02_mono.wav
strongdoor	strongdoor.ogg	1.317	DOORS_GATES_DRAWERS	DOOR_Metal_Hollow_Deep_Close_stereo.wav
secret	secret.ogg	1.599	PUZZLES	PUZZLE_Success_Bell_Voice_Three_Note_Climb_Wet_stereo.wav
key	key.ogg	0.266	LOCKS_KEYS	KEY_Unlocking_Metal_Door_mono.wav
treasure	treasure.ogg	0.695	FOLEY	COINS_Rattle_01_mono.wav
hit	hit.ogg	0.375	WEAPONS	SWORD_Hit_Sword_RR1_mono.wav
crit	crit.ogg	1.086	WEAPONS	HAMMER_Hit_Body_stereo.wav
search	search.ogg	0.823	SCRAPES_SCRATCHES	SCRAPE_Hollow_Fade_In_Out_mono.wav
lose	lose.ogg	5.577	MUSIC_EFFECTS	MUSIC_EFFECT_Orchestral_Battle_Negative_stereo.wav
savebad	savebad.ogg	0.115	USER_INTERFACES	UI_Error_Subtle_stereo.wav
boom	boom.ogg	0.562	EXPLOSIONS	EXPLOSION_Short_Dark_Debris_stereo.wav
fizzle	fizzle.ogg	1.389	SHATTER	SHATTER_Glass_Small_01_mono.wav
select	select.ogg	0.455	BUTTONS	BUTTON_Medium_Click_mono.wav
diceroll	diceroll.ogg	0.3985	FOLEY	COINS_Rattle_03_mono.wav
diceland	diceland.ogg	0.3750	IMPACTS	IMPACT_Wood_Plank_On_Wood_Pile_06_Short_mono.wav
dice_edge	dice_edge.ogg	0.2790	IMPACTS	IMPACT_Wood_Stick_On_Wood_Post_01_mono.wav
dice_settle	dice_settle.ogg	0.4031	IMPACTS	IMPACT_Wood_Plank_On_Wood_Pile_07_Short_mono.wav
voice	voice.ogg	0.0262	USER_INTERFACES	UI_Beep_Single_Bright_stereo.wav
dice-math-1	dice-math-1.ogg	0.1319	USER_INTERFACES	UI_Beep_Double_Quick_stereo.wav
dice-math-2	dice-math-2.ogg	0.0915	USER_INTERFACES	UI_Beep_Single_Clean_Distinct_stereo.wav
monster-pain	monster-pain.ogg	0.8868	MONSTERS_CREATURES	MONSTER_Pain_01_mono.wav
player-pain	player-pain.ogg	0.4061	VOICES	GRUNT_Male_Hurt_01_mono.wav
death	death.ogg	0.5488	VOICES	VOICE_Male_41yo_Scream_01_Shot_mono.wav
teleport	teleport.ogg	2.5970	TIME_WARPS	TIME_WARP_Stop_03_mono.wav
poison-proc	poison-proc.ogg	0.5945	GORE_SPLATS	GORE_Stab_Splat_Only_Bubbles_mono.wav
frost-proc	frost-proc.ogg	0.9427	SHATTER	SHATTER_Glass_Small_02_mono.wav
fireball	fireball.ogg	0.9761	EXPLOSIONS	EXPLOSION_Short_Ignite_Kickback_Debris_stereo.wav
lightning-bolt	lightning-bolt.ogg	0.3227	IMPACTS	IMPACT_Energy_Solid_04_mono.wav
monster-death	monster-death.ogg	1.4389	MONSTERS_CREATURES	MONSTER_Groan_05_mono.wav
maxhit	maxhit.ogg	0.5783	WEAPONS	HAMMER_Hit_Body_Break_stereo.wav
heartbeat	heartbeat.ogg	0.9671	THUDS_THUMPS	THUD_Dark_01_mono.wav
curio	curio.ogg	2.0312	MAGIC_SPELLS	MAGIC_SPELL_Flanger_Bright_Tail_stereo.wav
